customer_id,arrival,arrival in integer,minutes,service start,service_start,service end,service_end,waiting_time,service_time,total_time,server_id,turn-around_time
C1,12:00:00 PM,720,0,12:00:00 PM,0,12:03:00 PM,3,0,3,3,1,3
C2,12:12:00 PM,732,12,12:12:00 PM,12,12:16:00 PM,16,0,4,4,1,4
C3,12:13:00 PM,733,13,12:16:00 PM,16,12:20:00 PM,20,3,4,7,1,7
C4,12:14:00 PM,734,14,12:20:00 PM,20,12:24:00 PM,24,6,4,10,1,10
C5,12:27:00 PM,747,27,12:27:00 PM,27,12:31:00 PM,31,0,4,4,1,4
C6,12:31:00 PM,751,31,12:31:00 PM,31,12:34:00 PM,34,0,3,3,1,3
C7,12:31:00 PM,751,31,12:34:00 PM,34,12:37:00 PM,37,3,3,6,1,6
C8,12:34:00 PM,754,34,12:37:00 PM,37,12:41:00 PM,41,3,4,7,1,7
C9,12:39:00 PM,759,39,12:41:00 PM,41,12:46:00 PM,46,2,5,7,1,7
C10,12:40:00 PM,760,40,12:46:00 PM,46,12:50:00 PM,50,6,4,10,1,10
C11,12:40:00 PM,760,40,12:50:00 PM,50,12:53:00 PM,53,10,3,13,1,13
C12,12:46:00 PM,766,46,12:53:00 PM,53,12:57:00 PM,57,7,4,11,1,11
C13,12:48:00 PM,768,48,12:57:00 PM,57,1:02:00 PM,62,9,5,14,1,14
C14,12:49:00 PM,769,49,1:02:00 PM,62,1:06:00 PM,66,13,4,17,1,17
C15,12:49:00 PM,769,49,1:06:00 PM,66,1:09:00 PM,69,17,3,20,1,20
C16,12:55:00 PM,775,55,1:09:00 PM,69,1:13:00 PM,73,14,4,18,1,18
C17,12:58:00 PM,778,58,1:13:00 PM,73,1:17:00 PM,77,15,4,19,1,19
C18,12:58:00 PM,778,58,1:17:00 PM,77,1:19:00 PM,79,19,2,21,1,21
C19,1:00:00 PM,780,60,1:19:00 PM,79,1:22:00 PM,82,19,3,22,1,22
C20,1:02:00 PM,782,62,1:22:00 PM,82,1:23:00 PM,83,20,1,21,1,21
C21,1:04:00 PM,784,64,1:23:00 PM,83,1:26:00 PM,86,19,3,22,1,22
C22,1:04:00 PM,784,64,1:26:00 PM,86,1:28:00 PM,88,22,2,24,1,24
C23,1:05:00 PM,785,65,1:28:00 PM,88,1:30:00 PM,90,23,2,25,1,25
C24,1:10:00 PM,790,70,1:30:00 PM,90,1:35:00 PM,95,20,5,25,1,25
C25,1:12:00 PM,792,72,1:35:00 PM,95,1:36:00 PM,96,23,1,24,1,24
C26,1:15:00 PM,795,75,1:36:00 PM,96,1:38:00 PM,98,21,2,23,1,23
C27,1:15:00 PM,795,75,1:38:00 PM,98,1:42:00 PM,102,23,4,27,1,27
C28,1:16:00 PM,796,76,1:42:00 PM,102,1:44:00 PM,104,26,2,28,1,28
C29,1:20:00 PM,800,80,1:44:00 PM,104,1:45:00 PM,105,24,1,25,1,25
C30,1:23:00 PM,803,83,1:45:00 PM,105,1:47:00 PM,107,22,2,24,1,24
C31,1:24:00 PM,804,84,1:47:00 PM,107,1:50:00 PM,110,23,3,26,1,26
C32,1:26:00 PM,806,86,1:50:00 PM,110,1:51:00 PM,111,24,1,25,1,25
C33,1:29:00 PM,809,89,1:51:00 PM,111,1:53:00 PM,113,22,2,24,1,24
C34,1:30:00 PM,810,90,1:53:00 PM,113,1:55:00 PM,115,23,2,25,1,25
C35,1:40:00 PM,820,100,1:55:00 PM,115,1:57:00 PM,117,15,2,17,1,17
C36,1:43:00 PM,823,103,1:57:00 PM,117,1:58:00 PM,118,14,1,15,1,15
C37,1:46:00 PM,826,106,1:58:00 PM,118,1:59:00 PM,119,12,1,13,1,13
C38,1:47:00 PM,827,107,1:59:00 PM,119,2:00:00 PM,120,12,1,13,1,13
C39,1:50:00 PM,830,110,2:00:00 PM,120,2:02:00 PM,122,10,2,12,1,12
C40,1:55:00 PM,835,115,2:02:00 PM,122,2:03:00 PM,123,7,1,8,1,8
C41,2:00:00 PM,840,120,2:03:00 PM,123,2:05:00 PM,125,3,2,5,1,5
C42,2:03:00 PM,843,123,2:05:00 PM,125,2:07:00 PM,127,2,2,4,1,4
C43,2:04:00 PM,844,124,2:07:00 PM,127,2:09:00 PM,129,3,2,5,1,5
C44,2:05:00 PM,845,125,2:09:00 PM,129,2:12:00 PM,132,4,3,7,1,7
C45,2:06:00 PM,846,126,2:12:00 PM,132,2:14:00 PM,134,6,2,8,1,8
C46,2:09:00 PM,849,129,2:14:00 PM,134,2:19:00 PM,139,5,5,10,1,10
C47,2:11:00 PM,851,131,2:19:00 PM,139,2:21:00 PM,141,8,2,10,1,10
C48,2:14:00 PM,854,134,2:21:00 PM,141,2:22:00 PM,142,7,1,8,1,8
C49,2:15:00 PM,855,135,2:22:00 PM,142,2:25:00 PM,145,7,3,10,1,10
C50,2:18:00 PM,858,138,2:25:00 PM,145,2:26:00 PM,146,7,1,8,1,8
C51,2:20:00 PM,860,140,2:26:00 PM,146,2:30:00 PM,150,6,4,10,1,10
C52,2:24:00 PM,864,144,2:30:00 PM,150,2:38:00 PM,158,6,8,14,1,14
C53,2:29:00 PM,869,149,2:38:00 PM,158,2:40:00 PM,160,9,2,11,1,11
C54,2:30:00 PM,870,150,2:40:00 PM,160,2:42:00 PM,162,10,2,12,1,12
C55,2:32:00 PM,872,152,2:42:00 PM,162,2:45:00 PM,165,10,3,13,1,13
C56,2:35:00 PM,875,155,2:45:00 PM,165,2:46:00 PM,166,10,1,11,1,11
