customer_id,arrival,arrival_time,service start,service_start,service end,service_end,waiting_time,service_time,total_time,server_id
C1,12:00:00 PM,0,12:00:00 PM,0,12:03:00 PM,3,0,3,3,1
C5,12:12:00 PM,12,12:12:00 PM,12,12:16:00 PM,16,0,4,4,1
C6,12:13:00 PM,13,12:16:00 PM,16,12:20:00 PM,20,3,4,7,1
C7,12:14:00 PM,14,12:20:00 PM,20,12:24:00 PM,24,6,4,10,1
C8,12:27:00 PM,27,12:27:00 PM,27,12:31:00 PM,31,0,4,4,1
C9,12:31:00 PM,31,12:31:00 PM,31,12:34:00 PM,34,0,3,3,1
C10,12:31:00 PM,31,12:34:00 PM,34,12:37:00 PM,37,3,3,6,1
C12,12:34:00 PM,34,12:37:00 PM,37,12:41:00 PM,41,3,4,7,1
C16,12:39:00 PM,39,12:41:00 PM,41,12:46:00 PM,46,2,5,7,1
C18,12:40:00 PM,40,12:46:00 PM,46,12:50:00 PM,50,6,4,10,1
C19,12:40:00 PM,40,12:50:00 PM,50,12:53:00 PM,53,10,3,13,1
C21,12:46:00 PM,46,12:53:00 PM,53,12:57:00 PM,57,7,4,11,1
C22,12:48:00 PM,48,12:57:00 PM,57,1:02:00 PM,62,9,5,14,1
C23,12:49:00 PM,49,1:02:00 PM,62,1:06:00 PM,66,13,4,17,1
C24,12:49:00 PM,49,1:06:00 PM,66,1:09:00 PM,69,17,3,20,1
C25,12:55:00 PM,55,1:09:00 PM,69,1:13:00 PM,73,14,4,18,1
C26,12:58:00 PM,58,1:13:00 PM,73,1:17:00 PM,77,15,4,19,1
C27,12:58:00 PM,58,1:17:00 PM,77,1:22:00 PM,82,19,5,24,1
